producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
Pack 200 Combo,165,25,10,8686,9242.2,10720.95,8714,55453.2,64325.71,8728,110906.4,128651.42
Pack 350 Combo,290,42,18,8687,15149.2,17573.07,8715,90895.2,105438.43,8729,181790.4,210876.86
Pack 500 Combo,425,50,25,8688,17293.76,20060.76,8716,103762.56,120364.57,8730,207525.12,240729.14
Pack 700 Combo,610,63,27,8689,-,-,8717,-,-,8731,-,-
Pack 1000 Combo,870,90,40,8690,-,-,8718,-,-,8732,-,-
Pack 10 Premium,0,8,2,8691,2185.92,2535.67,8719,13115.52,15214,8733,26231.04,30428.01
Pack 25 Premium,0,18,7,8692,4200.14,4872.16,8720,25200.84,29232.97,8734,50401.68,58465.95
Pack 50 Premium,0,38,12,8693,7645.4,8868.66,8721,45872.4,53211.98,8735,91744.8,106423.97
Alquiler 10 Simples Suscrip,10,0,0,10695,572.76,664.4,-,-,-,-,-,-
Alquiler 30 Simples Suscrip,30,0,0,10696,1078,1250.48,-,-,-,-,-,-
Alquiler 50 Simples Suscrip,50,0,0,10697,1354.6,1571.34,-,-,-,-,-,-
Alquiler 100 Simples Suscrip,100,0,0,10698,2058,2387.28,-,-,-,-,-,-
10 Avisos Simples Combo Low TXN Mens,10,0,0,10724,454.6,527.34,-,-,-,-,-,-
Pack 10 Esencial_5SS+5S Combo Mensual,5,0,0,20762,544.32,631.41,-,-,-,-,-,-
Pack 15 Esencial_10SS+5S Combo Mensual,10,0,0,20763,670.32,777.57,-,-,-,-,-,-
Pack 30 Esencial_20SS+10S Combo Mensual,10,0,0,20764,1143.4,1326.34,-,-,-,-,-,-
Pack 50 Esencial_35SS+15S Combo Mensual,15,0,0,20765,1402,1626.32,-,-,-,-,-,-
300 Avisos Subsimple Combo Mensual,0,0,0,8849,3000,3480,-,-,-,-,-,-
Aviso Destacado Combo ZonaDemand,0,1,0,20151,4193.2,4864.11,20157,25159.2,29184.67,20163,50318.4,58369.34
5 Avisos Destacado Combo ZonaDemand,0,5,0,20152,5445,6316.2,20158,32670,37897.2,20164,65340,75794.4
10 Avisos Destacado Combo ZonaDemand,0,10,0,20153,10010,11611.6,20159,60060,69669.6,20165,120120,139339.2
25 Avisos Destacado Combo ZonaDemand,0,25,0,20154,20900,24244,20160,125400,145464,20166,250800,290928
50 Avisos Destacado Combo ZonaDemand,0,50,0,20155,30918.8,35865.81,20161,185512.8,215194.85,20167,371025.6,430389.7
100 Avisos Destacado Combo ZonaDemand,0,100,0,20156,47537.6,55143.62,20162,285225.6,330861.7,20168,570451.2,661723.39
Aviso Superdestacado Combo ZonaDemand,0,0,1,20169,5781.6,6706.66,20175,34689.6,40239.94,20181,69379.2,80479.87
5 Avisos Superdestacado Combo ZonaDemand,0,0,5,20170,10890,12632.4,20176,65340,75794.4,20182,130680,151588.8
10 Avisos Superdestacado Combo ZonaDemand,0,0,10,20171,20109.1,23326.56,20177,120654.6,139959.34,20183,241309.2,279918.67
25 Avisos Superdestacado Combo ZonaDemand,0,0,25,20172,41869.3,48568.39,20178,251215.8,291410.33,20184,502431.6,582820.66
50 Avisos Superdestacado Combo ZonaDemand,0,0,50,20173,55070.4,63881.66,20179,330422.4,383289.98,20185,660844.8,766579.97
100 Avisos Superdestacado Combo ZonaDemand,0,0,100,20174,73121.4,84820.82,20180,438728.4,508924.94,20186,877456.8,1017849.89
